latitude,longitude,mag
41.8713,-119.6179,3.44
41.8856,-119.622,4.15
41.8792,-119.6151,3.16
40.1305,-119.1781,3.54
37.7861667,-122.5913333,3.12
41.8781,-119.6469,3.08
34.4565,-116.461,3.21
36.5578333,-120.6085,3.01
41.8891,-119.6378,3.09
41.9052,-119.6351,3.82
41.8295,-119.6049,3.09
37.3136667,-121.6735,3.22
38.9111667,-123.6168333,3.45
41.8995,-119.6273,3.01
41.8799,-119.618,3.58
41.8883,-119.621,3.08
41.8875,-119.6226,4.55
34.092,-117.445,3.81
41.8878,-119.6288,3.96
41.8862,-119.6335,3.29
38.8175,-122.76,3.05
37.5776667,-121.974,3.98
41.8627,-119.6424,3.38
41.8508,-119.6404,3.39
39.4526667,-120.28,3.19
34.579,-120.8703333,3.1
41.8665,-119.652,3.28
41.8954,-119.63,3.72
41.8714,-119.6366,3.7
41.8534,-119.6478,3.76
41.9006,-119.6373,3.97
41.8557,-119.6545,3.24
41.8986,-119.6367,4.61
41.8712,-119.6284,3.43
41.88,-119.644,3.37
41.8782,-119.6265,3.23
37.5333333,-118.6685,3.01
38.8081667,-122.7903333,3.83
34.0953333,-120.6366667,3.63
32.981,-115.5813333,3.57
32.354,-115.208,3.24
36.733,-117.2486667,3.26
40.6207,-117.3259,3.13
38.3905,-119.3853333,3.17
37.4788333,-118.8225,3.15
35.7216667,-117.599,3.63
37.2668,-114.645,3.36
37.6918,-117.6481,3.43
33.778,-115.7006667,3.83
36.6661667,-121.2913333,3.15
33.9168333,-118.297,3.2
35.8626667,-117.6903333,3.31
35.4823333,-118.4238333,3.52
35.862,-117.6855,3.46
35.8595,-117.6888333,3.51
33.3135,-116.2816667,3.59
33.8766667,-116.1425,3.7
33.9641667,-119.906,3
37.3144,-114.6438,3.06
37.3604,-114.5958,3.17
37.3307,-114.5908,3.34
40.6508333,-124.712,4.34
38.9762,-116.0637,3.59
33.989,-118.3536667,3.09
37.45,-114.1831667,3.41
37.309,-114.6519,3.52
37.3371,-114.642,3
37.3138,-114.639,3.83
37.2925,-114.6546,5.27
35.6871667,-121.1163333,3.16
32.3763333,-115.238,3.38
32.362,-115.2423333,3.26
38.4316667,-122.2503333,4.09
33.163,-115.6468333,3.33
33.1596667,-115.6483333,3.28
33.1621667,-115.6425,4.1
36.6628333,-120.8701667,3.82
41.8266,-119.673,3.2
37.4736667,-118.79,3.34
37.4761667,-118.7881667,3.05
35.0286667,-119.0738333,3.82
40.6105,-122.4275,3.23
33.812,-117.6351667,3.07
37.9661667,-122.0433333,3.51
37.958,-122.0505,3.03
33.8128333,-116.9795,3.72
39.083,-115.6669,3.4
39.0784,-115.7039,3.18
39.0869,-115.6756,3.67
37.9665,-122.0436667,3.64
38.4438,-118.7299,3.45
33.9936667,-118.3613333,3.8
33.8515,-118.2501667,3.41
37.0578333,-118.269,3.49
39.5011667,-122.9486667,3.1
39.2703333,-122.7556667,3.23
35.7033333,-121.0548333,3.05
38.7861667,-122.72,3.28
41.1802,-116.2214,3
35.5746667,-120.8583333,3.19
34.0161667,-116.4375,3.15
34.3348333,-118.4566667,3.08
33.9981667,-118.3601667,3.32
32.4111667,-115.2448333,4.03
32.376,-115.2085,4.27
39.3606667,-120.0208333,3.41
34.3253333,-118.5538333,3.13
32.4093333,-115.211,3.49
37.792,-121.9868333,3.61
34.7911667,-116.2611667,4.04
33.9298333,-116.032,3.67
36.2271667,-120.3528333,4.11
36.2273333,-120.3546667,3.35
33.2435,-117.8676667,3.05
35.2673333,-118.58,3.56
40.1705,-121.0621667,3.79
34.5771667,-116.268,3.2
37.7466667,-122.1441667,3.04
40.3293333,-124.6571667,3.79
38.8161667,-122.81,3.43
41.8501,-119.6421,3.36
41.8704,-119.6612,3.16
41.8597,-119.6664,3.13
41.8453,-119.6403,3.43
38.9075,-115.3789,3.88
41.8563,-119.6455,3.25
41.9131,-119.5679,3.46
33.9376667,-116.0285,3.67
40.8431667,-124.83,3.04
41.8959,-119.5571,3.07
41.9098,-119.5629,3.39
41.8779,-119.6499,3.3
41.8609,-119.6461,3.06
37.1415,-117.2612,3.42
41.855,-119.6445,3.64
37.1418,-117.2618,4.8
37.14,-117.27,3.17
37.2728333,-118.4146667,3.28
41.8709,-119.6457,3.14
33.2986667,-116.2815,3.28
32.3966667,-115.2583333,3.4
41.8925,-119.6272,3.37
41.8987,-119.621,3.3
41.8902,-119.6375,3.17
38.4365,-119.2723333,3.06
41.8802,-119.6171,3.2
40.3113333,-124.5891667,4.25
41.8948,-119.6309,3.58
41.8797,-119.6241,4.2
38.9599,-116.0815,3.27
40.2846667,-124.3736667,3.1
40.3178333,-124.6066667,5.72
32.8051667,-115.4551667,3.19
34.7505,-118.4466667,3.45
32.9708333,-116.4248333,3.2
40.3286667,-124.6366667,3.16
41.8653,-119.6432,3
41.8843,-119.6208,3.06
41.8722,-119.66,3.42
41.8833,-119.6332,4.48
41.8719,-119.6342,3
41.8996,-119.6444,3.89
